Time(s)	V(m/s)
0.000	18.456
0.010	18.493
0.020	18.532
0.030	18.571
0.040	18.610
0.050	18.649
0.060	18.689
0.070	18.731
0.080	18.777
0.090	18.829
0.100	18.888
0.110	18.956
0.120	19.031
0.130	19.111
0.140	19.192
0.150	19.268
0.160	19.335
0.170	19.386
0.180	19.417
0.190	19.423
0.200	19.402
0.210	19.356
0.220	19.288
0.230	19.202
0.240	19.107
0.250	19.013
0.260	18.928
0.270	18.862
0.280	18.824
0.290	18.820
0.300	18.854
0.310	18.926
0.320	19.034
0.330	19.174
0.340	19.338
0.350	19.519
0.360	19.708
0.370	19.896
0.380	20.074
0.390	20.238
0.400	20.382
0.410	20.503
0.420	20.599
0.430	20.670
0.440	20.717
0.450	20.738
0.460	20.736
0.470	20.709
0.480	20.658
0.490	20.581
0.500	20.479
0.510	20.351
0.520	20.197
0.530	20.021
0.540	19.826
0.550	19.619
0.560	19.408
0.570	19.203
0.580	19.012
0.590	18.847
0.600	18.717
0.610	18.629
0.620	18.586
0.630	18.591
0.640	18.641
0.650	18.729
0.660	18.846
0.670	18.982
0.680	19.124
0.690	19.260
0.700	19.378
0.710	19.471
0.720	19.533
0.730	19.562
0.740	19.558
0.750	19.529
0.760	19.479
0.770	19.419
0.780	19.357
0.790	19.302
0.800	19.260
0.810	19.234
0.820	19.225
0.830	19.232
0.840	19.248
0.850	19.267
0.860	19.282
0.870	19.285
0.880	19.269
0.890	19.231
0.900	19.168
0.910	19.084
0.920	18.982
0.930	18.868
0.940	18.753
0.950	18.643
0.960	18.548
0.970	18.475
0.980	18.428
0.990	18.408
1.000	18.414
1.010	18.442
1.020	18.486
1.030	18.539
1.040	18.593
1.050	18.640
1.060	18.678
1.070	18.702
1.080	18.714
1.090	18.716
1.100	18.715
1.110	18.716
1.120	18.728
1.130	18.757
1.140	18.809
1.150	18.886
1.160	18.988
1.170	19.111
1.180	19.248
1.190	19.391
1.200	19.527
1.210	19.645
1.220	19.736
1.230	19.789
1.240	19.800
1.250	19.767
1.260	19.691
1.270	19.577
1.280	19.434
1.290	19.273
1.300	19.105
1.310	18.941
1.320	18.791
1.330	18.663
1.340	18.560
1.350	18.484
1.360	18.432
1.370	18.399
1.380	18.378
1.390	18.360
1.400	18.338
1.410	18.303
1.420	18.251
1.430	18.180
1.440	18.088
1.450	17.978
1.460	17.856
1.470	17.727
1.480	17.598
1.490	17.477
1.500	17.369
1.510	17.279
1.520	17.207
1.530	17.155
1.540	17.119
1.550	17.096
1.560	17.082
1.570	17.070
1.580	17.057
1.590	17.038
1.600	17.010
1.610	16.975
1.620	16.931
1.630	16.883
1.640	16.834
1.650	16.789
1.660	16.752
1.670	16.726
1.680	16.715
1.690	16.719
1.700	16.738
1.710	16.771
1.720	16.815
1.730	16.866
1.740	16.920
1.750	16.974
1.760	17.025
1.770	17.070
1.780	17.108
1.790	17.140
1.800	17.166
1.810	17.188
1.820	17.208
1.830	17.226
1.840	17.243
1.850	17.261
1.860	17.278
1.870	17.292
1.880	17.303
1.890	17.307
1.900	17.301
1.910	17.285
1.920	17.257
1.930	17.217
1.940	17.166
1.950	17.107
1.960	17.042
1.970	16.975
1.980	16.909
1.990	16.849
2.000	16.796
2.010	16.753
2.020	16.720
2.030	16.695
2.040	16.678
2.050	16.663
2.060	16.649
2.070	16.630
2.080	16.605
2.090	16.569
2.100	16.523
2.110	16.466
2.120	16.399
2.130	16.325
2.140	16.246
2.150	16.168
2.160	16.093
2.170	16.025
2.180	15.967
2.190	15.921
2.200	15.887
2.210	15.865
2.220	15.853
2.230	15.850
2.240	15.853
2.250	15.860
2.260	15.868
2.270	15.876
2.280	15.881
2.290	15.884
2.300	15.885
2.310	15.882
2.320	15.877
2.330	15.869
2.340	15.858
2.350	15.844
2.360	15.827
2.370	15.805
2.380	15.778
2.390	15.746
2.400	15.709
2.410	15.668
2.420	15.626
2.430	15.586
2.440	15.553
2.450	15.532
2.460	15.528
2.470	15.546
2.480	15.590
2.490	15.662
2.500	15.764
2.510	15.892
2.520	16.043
2.530	16.210
2.540	16.386
2.550	16.560
2.560	16.724
2.570	16.867
2.580	16.982
2.590	17.063
2.600	17.106
2.610	17.112
2.620	17.084
2.630	17.025
2.640	16.945
2.650	16.852
