Time(s)	V(m/s)
0.000	7.354
0.010	7.365
0.020	7.377
0.030	7.389
0.040	7.401
0.050	7.413
0.060	7.425
0.070	7.438
0.080	7.452
0.090	7.468
0.100	7.486
0.110	7.507
0.120	7.530
0.130	7.554
0.140	7.579
0.150	7.602
0.160	7.623
0.170	7.638
0.180	7.648
0.190	7.650
0.200	7.643
0.210	7.629
0.220	7.608
0.230	7.582
0.240	7.553
0.250	7.524
0.260	7.497
0.270	7.477
0.280	7.466
0.290	7.464
0.300	7.475
0.310	7.497
0.320	7.530
0.330	7.573
0.340	7.623
0.350	7.678
0.360	7.736
0.370	7.794
0.380	7.849
0.390	7.899
0.400	7.943
0.410	7.980
0.420	8.009
0.430	8.031
0.440	8.045
0.450	8.051
0.460	8.051
0.470	8.042
0.480	8.027
0.490	8.003
0.500	7.971
0.510	7.932
0.520	7.885
0.530	7.830
0.540	7.771
0.550	7.707
0.560	7.642
0.570	7.579
0.580	7.520
0.590	7.470
0.600	7.429
0.610	7.402
0.620	7.389
0.630	7.390
0.640	7.405
0.650	7.432
0.660	7.468
0.670	7.510
0.680	7.553
0.690	7.594
0.700	7.631
0.710	7.659
0.720	7.678
0.730	7.686
0.740	7.685
0.750	7.676
0.760	7.661
0.770	7.642
0.780	7.623
0.790	7.606
0.800	7.593
0.810	7.584
0.820	7.582
0.830	7.583
0.840	7.588
0.850	7.594
0.860	7.598
0.870	7.599
0.880	7.594
0.890	7.582
0.900	7.563
0.910	7.536
0.920	7.505
0.930	7.470
0.940	7.434
0.950	7.400
0.960	7.371
0.970	7.348
0.980	7.334
0.990	7.327
1.000	7.329
1.010	7.338
1.020	7.351
1.030	7.367
1.040	7.383
1.050	7.398
1.060	7.409
1.070	7.416
1.080	7.420
1.090	7.420
1.100	7.419
1.110	7.420
1.120	7.423
1.130	7.432
1.140	7.448
1.150	7.471
1.160	7.502
1.170	7.540
1.180	7.581
1.190	7.625
1.200	7.666
1.210	7.702
1.220	7.730
1.230	7.746
1.240	7.749
1.250	7.739
1.260	7.715
1.270	7.680
1.280	7.636
1.290	7.586
1.300	7.535
1.310	7.484
1.320	7.438
1.330	7.398
1.340	7.366
1.350	7.343
1.360	7.326
1.370	7.316
1.380	7.309
1.390	7.303
1.400	7.296
1.410	7.285
1.420	7.269
1.430	7.247
1.440	7.218
1.450	7.184
1.460	7.147
1.470	7.107
1.480	7.067
1.490	7.030
1.500	6.996
1.510	6.968
1.520	6.946
1.530	6.930
1.540	6.918
1.550	6.911
1.560	6.906
1.570	6.903
1.580	6.898
1.590	6.892
1.600	6.883
1.610	6.872
1.620	6.858
1.630	6.843
1.640	6.828
1.650	6.814
1.660	6.802
1.670	6.794
1.680	6.790
1.690	6.791
1.700	6.797
1.710	6.807
1.720	6.820
1.730	6.836
1.740	6.852
1.750	6.868
1.760	6.884
1.770	6.897
1.780	6.909
1.790	6.918
1.800	6.926
1.810	6.933
1.820	6.938
1.830	6.943
1.840	6.949
1.850	6.954
1.860	6.959
1.870	6.963
1.880	6.966
1.890	6.967
1.900	6.965
1.910	6.960
1.920	6.951
1.930	6.938
1.940	6.923
1.950	6.904
1.960	6.884
1.970	6.863
1.980	6.843
1.990	6.824
2.000	6.808
2.010	6.794
2.020	6.784
2.030	6.776
2.040	6.770
2.050	6.765
2.060	6.761
2.070	6.755
2.080	6.747
2.090	6.736
2.100	6.721
2.110	6.703
2.120	6.683
2.130	6.660
2.140	6.635
2.150	6.611
2.160	6.588
2.170	6.567
2.180	6.549
2.190	6.534
2.200	6.524
2.210	6.517
2.220	6.513
2.230	6.512
2.240	6.512
2.250	6.514
2.260	6.517
2.270	6.519
2.280	6.520
2.290	6.521
2.300	6.521
2.310	6.520
2.320	6.518
2.330	6.515
2.340	6.512
2.350	6.507
2.360	6.502
2.370	6.495
2.380	6.486
2.390	6.476
2.400	6.465
2.410	6.452
2.420	6.439
2.430	6.427
2.440	6.416
2.450	6.410
2.460	6.408
2.470	6.414
2.480	6.427
2.490	6.449
2.500	6.480
2.510	6.519
2.520	6.565
2.530	6.617
2.540	6.670
2.550	6.724
2.560	6.774
2.570	6.817
2.580	6.852
2.590	6.877
2.600	6.890
2.610	6.892
2.620	6.883
2.630	6.865
2.640	6.840
2.650	6.812
2.660	6.782
2.670	6.754
2.680	6.730
2.690	6.712
2.700	6.701
2.710	6.697
2.720	6.699
2.730	6.707
2.740	6.719
2.750	6.732
2.760	6.746
2.770	6.757
2.780	6.764
2.790	6.767
2.800	6.766
2.810	6.761
2.820	6.752
2.830	6.741
2.840	6.730
2.850	6.719
2.860	6.712
2.870	6.708
2.880	6.708
2.890	6.714
2.900	6.724
2.910	6.738
2.920	6.756
2.930	6.777
2.940	6.800
2.950	6.824
2.960	6.848
2.970	6.872
2.980	6.895
2.990	6.917
3.000	6.939
3.010	6.959
3.020	6.978
3.030	6.995
3.040	7.009
3.050	7.021
3.060	7.030
3.070	7.035
3.080	7.035
3.090	7.029
3.100	7.019
3.110	7.004
3.120	6.985
3.130	6.963
3.140	6.940
3.150	6.917
3.160	6.896
3.170	6.879
3.180	6.867
3.190	6.862
3.200	6.863
3.210	6.871
3.220	6.885
3.230	6.903
3.240	6.923
3.250	6.943
3.260	6.961
3.270	6.976
3.280	6.984
3.290	6.986
3.300	6.980
3.310	6.967
3.320	6.948
3.330	6.924
3.340	6.897
3.350	6.870
3.360	6.844
3.370	6.822
3.380	6.806
3.390	6.796
3.400	6.794
3.410	6.799
3.420	6.810
3.430	6.826
3.440	6.847
3.450	6.869
3.460	6.891
3.470	6.912
3.480	6.928
3.490	6.940
3.500	6.945
3.510	6.944
3.520	6.937
3.530	6.923
3.540	6.904
3.550	6.881
3.560	6.856
3.570	6.828
3.580	6.801
3.590	6.775
3.600	6.752
3.610	6.734
3.620	6.721
3.630	6.714
3.640	6.715
3.650	6.723
3.660	6.739
3.670	6.762
3.680	6.791
3.690	6.826
3.700	6.865
3.710	6.907
3.720	6.949
3.730	6.990
3.740	7.027
3.750	7.060
3.760	7.087
3.770	7.106
3.780	7.117
3.790	7.120
3.800	7.116
3.810	7.104
3.820	7.087
3.830	7.065
3.840	7.040
3.850	7.013
3.860	6.986
3.870	6.959
3.880	6.933
3.890	6.909
3.900	6.886
3.910	6.866
3.920	6.846
3.930	6.829
3.940	6.812
3.950	6.797
3.960	6.784
3.970	6.773
3.980	6.764
3.990	6.757
4.000	6.755
4.010	6.756
4.020	6.761
4.030	6.770
4.040	6.782
4.050	6.797
4.060	6.813
4.070	6.828
4.080	6.842
4.090	6.853
4.100	6.858
4.110	6.858
4.120	6.851
4.130	6.837
4.140	6.817
4.150	6.792
4.160	6.761
4.170	6.728
4.180	6.694
4.190	6.660
4.200	6.629
4.210	6.600
4.220	6.577
4.230	6.558
4.240	6.544
4.250	6.536
4.260	6.531
4.270	6.531
4.280	6.533
4.290	6.537
4.300	6.543
4.310	6.549
4.320	6.556
4.330	6.562
4.340	6.569
4.350	6.574
4.360	6.579
4.370	6.582
4.380	6.583
4.390	6.580
4.400	6.574
4.410	6.563
4.420	6.546
4.430	6.522
4.440	6.492
4.450	6.455
4.460	6.413
4.470	6.367
4.480	6.318
4.490	6.269
4.500	6.223
4.510	6.182
4.520	6.149
4.530	6.127
4.540	6.116
4.550	6.119
4.560	6.134
4.570	6.161
4.580	6.199
4.590	6.245
4.600	6.295
4.610	6.348
4.620	6.398
4.630	6.444
4.640	6.482
4.650	6.510
4.660	6.526
4.670	6.532
4.680	6.526
4.690	6.509
4.700	6.485
4.710	6.455
4.720	6.421
4.730	6.387
4.740	6.354
4.750	6.326
4.760	6.303
4.770	6.288
4.780	6.281
