Time(s)	V(m/s)
0.000	19.580
0.010	19.619
0.020	19.661
0.030	19.704
0.040	19.746
0.050	19.788
0.060	19.831
0.070	19.876
0.080	19.925
0.090	19.982
0.100	20.046
0.110	20.119
0.120	20.200
0.130	20.286
0.140	20.373
0.150	20.456
0.160	20.528
0.170	20.583
0.180	20.616
0.190	20.623
0.200	20.601
0.210	20.551
0.220	20.477
0.230	20.384
0.240	20.282
0.250	20.180
0.260	20.088
0.270	20.018
0.280	19.977
0.290	19.973
0.300	20.009
0.310	20.087
0.320	20.203
0.330	20.354
0.340	20.532
0.350	20.727
0.360	20.930
0.370	21.133
0.380	21.326
0.390	21.503
0.400	21.658
0.410	21.789
0.420	21.892
0.430	21.969
0.440	22.019
0.450	22.042
0.460	22.040
0.470	22.011
0.480	21.956
0.490	21.873
0.500	21.763
0.510	21.624
0.520	21.459
0.530	21.268
0.540	21.059
0.550	20.835
0.560	20.608
0.570	20.386
0.580	20.180
0.590	20.002
0.600	19.862
0.610	19.767
0.620	19.721
0.630	19.726
0.640	19.780
0.650	19.875
0.660	20.001
0.670	20.148
0.680	20.301
0.690	20.448
0.700	20.576
0.710	20.676
0.720	20.743
0.730	20.774
0.740	20.770
0.750	20.738
0.760	20.685
0.770	20.620
0.780	20.554
0.790	20.494
0.800	20.449
0.810	20.421
0.820	20.412
0.830	20.418
0.840	20.436
0.850	20.457
0.860	20.473
0.870	20.476
0.880	20.459
0.890	20.418
0.900	20.350
0.910	20.259
0.920	20.149
0.930	20.027
0.940	19.902
0.950	19.784
0.960	19.682
0.970	19.603
0.980	19.551
0.990	19.530
1.000	19.537
1.010	19.567
1.020	19.615
1.030	19.672
1.040	19.730
1.050	19.782
1.060	19.822
1.070	19.848
1.080	19.861
1.090	19.864
1.100	19.862
1.110	19.864
1.120	19.876
1.130	19.908
1.140	19.964
1.150	20.047
1.160	20.157
1.170	20.290
1.180	20.438
1.190	20.592
1.200	20.739
1.210	20.867
1.220	20.964
1.230	21.022
1.240	21.034
1.250	20.998
1.260	20.916
1.270	20.794
1.280	20.640
1.290	20.466
1.300	20.284
1.310	20.108
1.320	19.946
1.330	19.807
1.340	19.697
1.350	19.615
1.360	19.559
1.370	19.523
1.380	19.501
1.390	19.482
1.400	19.457
1.410	19.420
1.420	19.364
1.430	19.287
1.440	19.188
1.450	19.070
1.460	18.938
1.470	18.799
1.480	18.660
1.490	18.530
1.500	18.413
1.510	18.316
1.520	18.238
1.530	18.182
1.540	18.144
1.550	18.119
1.560	18.104
1.570	18.091
1.580	18.077
1.590	18.056
1.600	18.027
1.610	17.988
1.620	17.942
1.630	17.890
1.640	17.837
1.650	17.789
1.660	17.748
1.670	17.721
1.680	17.708
1.690	17.713
1.700	17.734
1.710	17.770
1.720	17.817
1.730	17.872
1.740	17.931
1.750	17.989
1.760	18.044
1.770	18.092
1.780	18.134
1.790	18.168
1.800	18.197
1.810	18.220
1.820	18.241
1.830	18.261
1.840	18.280
1.850	18.299
1.860	18.317
1.870	18.333
1.880	18.345
1.890	18.349
1.900	18.343
1.910	18.326
1.920	18.296
1.930	18.253
1.940	18.198
1.950	18.134
1.960	18.063
1.970	17.991
1.980	17.920
1.990	17.855
2.000	17.799
2.010	17.752
2.020	17.717
2.030	17.690
2.040	17.671
2.050	17.656
2.060	17.640
2.070	17.620
2.080	17.593
2.090	17.555
2.100	17.505
2.110	17.443
2.120	17.371
2.130	17.291
2.140	17.206
2.150	17.122
2.160	17.041
2.170	16.968
2.180	16.905
2.190	16.855
2.200	16.819
2.210	16.795
2.220	16.783
2.230	16.780
2.240	16.783
2.250	16.791
2.260	16.799
2.270	16.807
2.280	16.814
2.290	16.817
2.300	16.817
2.310	16.814
2.320	16.809
2.330	16.800
2.340	16.789
2.350	16.774
2.360	16.756
2.370	16.732
2.380	16.703
2.390	16.668
2.400	16.628
2.410	16.584
2.420	16.539
2.430	16.496
2.440	16.460
2.450	16.437
2.460	16.433
2.470	16.453
2.480	16.500
2.490	16.578
2.500	16.687
2.510	16.826
2.520	16.989
2.530	17.170
2.540	17.359
2.550	17.547
2.560	17.724
2.570	17.878
2.580	18.002
2.590	18.090
2.600	18.137
2.610	18.143
2.620	18.112
2.630	18.049
2.640	17.963
2.650	17.863
2.660	17.758
2.670	17.660
2.680	17.577
2.690	17.514
2.700	17.475
2.710	17.461
2.720	17.471
2.730	17.500
2.740	17.542
2.750	17.589
2.760	17.636
2.770	17.676
2.780	17.703
2.790	17.715
2.800	17.711
2.810	17.692
2.820	17.662
2.830	17.624
2.840	17.585
2.850	17.549
2.860	17.523
2.870	17.509
2.880	17.511
2.890	17.530
2.900	17.567
2.910	17.618
2.920	17.682
2.930	17.756
2.940	17.837
2.950	17.922
2.960	18.007
2.970	18.092
2.980	18.174
2.990	18.253
3.000	18.328
3.010	18.400
3.020	18.466
3.030	18.527
3.040	18.579
3.050	18.623
3.060	18.654
3.070	18.670
3.080	18.671
3.090	18.653
3.100	18.618
3.110	18.565
3.120	18.499
3.130	18.422
3.140	18.341
3.150	18.260
3.160	18.188
3.170	18.129
3.180	18.088
3.190	18.070
3.200	18.076
3.210	18.104
3.220	18.153
3.230	18.216
3.240	18.287
3.250	18.360
3.260	18.425
3.270	18.476
3.280	18.506
3.290	18.513
3.300	18.493
3.310	18.449
3.320	18.382
3.330	18.298
3.340	18.205
3.350	18.109
3.360	18.020
3.370	17.943
3.380	17.886
3.390	17.853
3.400	17.845
3.410	17.862
3.420	17.902
3.430	17.962
3.440	18.034
3.450	18.114
3.460	18.192
3.470	18.264
3.480	18.323
3.490	18.364
3.500	18.384
3.510	18.382
3.520	18.356
3.530	18.310
3.540	18.244
3.550	18.164
3.560	18.074
3.570	17.978
3.580	17.882
3.590	17.792
3.600	17.712
3.610	17.648
3.620	17.603
3.630	17.581
3.640	17.584
3.650	17.614
3.660	17.670
3.670	17.752
3.680	17.856
3.690	17.980
3.700	18.118
3.710	18.265
3.720	18.414
3.730	18.558
3.740	18.691
3.750	18.807
3.760	18.901
3.770	18.969
3.780	19.009
3.790	19.021
3.800	19.006
3.810	18.967
3.820	18.907
3.830	18.831
3.840	18.744
3.850	18.651
3.860	18.555
3.870	18.461
3.880	18.371
3.890	18.286
3.900	18.208
3.910	18.136
3.920	18.069
3.930	18.008
3.940	17.951
3.950	17.900
3.960	17.854
3.970	17.814
3.980	17.784
3.990	17.763
4.000	17.754
4.010	17.759
4.020	17.778
4.030	17.811
4.040	17.855
4.050	17.907
4.060	17.964
4.070	18.020
4.080	18.069
4.090	18.107
4.100	18.128
4.110	18.128
4.120	18.105
4.130	18.058
4.140	17.988
4.150	17.898
4.160	17.793
4.170	17.677
4.180	17.558
4.190	17.440
4.200	17.330
4.210	17.232
4.220	17.149
4.230	17.085
4.240	17.038
4.250	17.008
4.260	16.994
4.270	16.993
4.280	17.001
4.290	17.017
4.300	17.038
4.310	17.062
4.320	17.086
4.330	17.110
4.340	17.133
4.350	17.154
4.360	17.171
4.370	17.183
4.380	17.186
4.390	17.179
4.400	17.158
4.410	17.119
4.420	17.060
4.430	16.978
4.440	16.873
4.450	16.745
4.460	16.598
4.470	16.435
4.480	16.264
4.490	16.093
4.500	15.932
4.510	15.789
4.520	15.675
4.530	15.597
4.540	15.560
4.550	15.569
4.560	15.624
4.570	15.721
4.580	15.855
4.590	16.016
4.600	16.195
4.610	16.380
4.620	16.559
4.630	16.720
4.640	16.854
4.650	16.953
4.660	17.013
4.670	17.032
4.680	17.012
4.690	16.956
4.700	16.871
4.710	16.764
4.720	16.646
4.730	16.526
4.740	16.412
4.750	16.313
