Time(s)	V(m/s)
0.000	15.096
0.010	15.124
0.020	15.154
0.030	15.185
0.040	15.215
0.050	15.245
0.060	15.276
0.070	15.308
0.080	15.344
0.090	15.384
0.100	15.430
0.110	15.482
0.120	15.540
0.130	15.602
0.140	15.664
0.150	15.723
0.160	15.775
0.170	15.815
0.180	15.838
0.190	15.843
0.200	15.827
0.210	15.791
0.220	15.738
0.230	15.672
0.240	15.599
0.250	15.526
0.260	15.460
0.270	15.410
0.280	15.380
0.290	15.377
0.300	15.403
0.310	15.459
0.320	15.542
0.330	15.650
0.340	15.777
0.350	15.917
0.360	16.062
0.370	16.207
0.380	16.346
0.390	16.472
0.400	16.583
0.410	16.676
0.420	16.751
0.430	16.805
0.440	16.841
0.450	16.858
0.460	16.856
0.470	16.835
0.480	16.796
0.490	16.736
0.500	16.657
0.510	16.558
0.520	16.439
0.530	16.303
0.540	16.153
0.550	15.993
0.560	15.830
0.570	15.671
0.580	15.524
0.590	15.396
0.600	15.296
0.610	15.227
0.620	15.194
0.630	15.198
0.640	15.236
0.650	15.304
0.660	15.395
0.670	15.499
0.680	15.609
0.690	15.714
0.700	15.805
0.710	15.877
0.720	15.924
0.730	15.946
0.740	15.944
0.750	15.921
0.760	15.883
0.770	15.836
0.780	15.788
0.790	15.746
0.800	15.713
0.810	15.693
0.820	15.686
0.830	15.691
0.840	15.703
0.850	15.718
0.860	15.729
0.870	15.731
0.880	15.719
0.890	15.689
0.900	15.641
0.910	15.575
0.920	15.496
0.930	15.409
0.940	15.319
0.950	15.234
0.960	15.161
0.970	15.104
0.980	15.068
0.990	15.052
1.000	15.057
1.010	15.079
1.020	15.112
1.030	15.153
1.040	15.194
1.050	15.231
1.060	15.260
1.070	15.278
1.080	15.287
1.090	15.289
1.100	15.288
1.110	15.289
1.120	15.298
1.130	15.320
1.140	15.360
1.150	15.419
1.160	15.498
1.170	15.593
1.180	15.699
1.190	15.808
1.200	15.913
1.210	16.005
1.220	16.074
1.230	16.116
1.240	16.124
1.250	16.098
1.260	16.039
1.270	15.951
1.280	15.841
1.290	15.716
1.300	15.586
1.310	15.459
1.320	15.343
1.330	15.244
1.340	15.165
1.350	15.106
1.360	15.065
1.370	15.040
1.380	15.023
1.390	15.009
1.400	14.992
1.410	14.965
1.420	14.925
1.430	14.869
1.440	14.798
1.450	14.713
1.460	14.618
