Time(s)	V(m/s)
0.000	9.364
0.010	9.375
0.020	9.386
0.030	9.397
0.040	9.408
0.050	9.419
0.060	9.431
0.070	9.443
0.080	9.456
0.090	9.471
0.100	9.488
0.110	9.507
0.120	9.528
0.130	9.551
0.140	9.574
0.150	9.596
0.160	9.615
0.170	9.630
0.180	9.639
0.190	9.640
0.200	9.634
0.210	9.621
0.220	9.602
0.230	9.577
0.240	9.550
0.250	9.523
0.260	9.499
0.270	9.480
0.280	9.469
0.290	9.468
0.300	9.477
0.310	9.498
0.320	9.529
0.330	9.569
0.340	9.616
0.350	9.667
0.360	9.721
0.370	9.775
0.380	9.826
0.390	9.873
0.400	9.914
0.410	9.948
0.420	9.976
0.430	9.996
0.440	10.009
0.450	10.015
0.460	10.014
0.470	10.007
0.480	9.992
0.490	9.970
0.500	9.941
0.510	9.904
0.520	9.860
0.530	9.809
0.540	9.754
0.550	9.694
0.560	9.634
0.570	9.575
0.580	9.521
0.590	9.473
0.600	9.436
0.610	9.411
0.620	9.398
0.630	9.400
0.640	9.414
0.650	9.439
0.660	9.472
0.670	9.511
0.680	9.551
0.690	9.590
0.700	9.624
0.710	9.650
0.720	9.668
0.730	9.676
0.740	9.675
0.750	9.666
0.760	9.652
0.770	9.635
0.780	9.617
0.790	9.601
0.800	9.589
0.810	9.581
0.820	9.579
0.830	9.580
0.840	9.585
0.850	9.590
0.860	9.594
0.870	9.595
0.880	9.590
0.890	9.579
0.900	9.561
0.910	9.537
0.920	9.508
0.930	9.475
0.940	9.442
0.950	9.410
0.960	9.383
0.970	9.362
0.980	9.348
0.990	9.343
1.000	9.344
1.010	9.352
1.020	9.365
1.030	9.380
1.040	9.395
1.050	9.408
1.060	9.419
1.070	9.426
1.080	9.429
1.090	9.429
1.100	9.429
1.110	9.429
1.120	9.432
1.130	9.441
1.140	9.455
1.150	9.477
1.160	9.506
1.170	9.541
1.180	9.580
1.190	9.621
1.200	9.659
1.210	9.693
1.220	9.719
1.230	9.734
1.240	9.737
1.250	9.727
1.260	9.705
1.270	9.673
1.280	9.632
1.290	9.585
1.300	9.537
1.310	9.490
1.320	9.447
1.330	9.410
1.340	9.380
1.350	9.359
1.360	9.343
1.370	9.334
1.380	9.328
1.390	9.322
1.400	9.316
1.410	9.306
1.420	9.291
1.430	9.270
1.440	9.243
1.450	9.212
1.460	9.177
1.470	9.140
1.480	9.103
1.490	9.068
1.500	9.037
1.510	9.011
1.520	8.990
1.530	8.975
1.540	8.964
1.550	8.958
1.560	8.953
1.570	8.950
1.580	8.946
1.590	8.940
1.600	8.932
1.610	8.922
1.620	8.909
1.630	8.895
1.640	8.881
1.650	8.868
1.660	8.857
1.670	8.849
1.680	8.846
1.690	8.847
1.700	8.852
1.710	8.862
1.720	8.874
1.730	8.888
1.740	8.904
1.750	8.919
1.760	8.933
1.770	8.946
1.780	8.957
1.790	8.966
1.800	8.973
1.810	8.979
1.820	8.984
1.830	8.989
1.840	8.994
1.850	8.999
1.860	9.004
1.870	9.008
1.880	9.011
1.890	9.011
1.900	9.010
1.910	9.005
1.920	8.997
1.930	8.985
1.940	8.971
1.950	8.953
1.960	8.935
1.970	8.915
1.980	8.896
1.990	8.879
2.000	8.864
2.010	8.851
2.020	8.841
2.030	8.834
2.040	8.829
2.050	8.825
2.060	8.820
2.070	8.815
2.080	8.807
2.090	8.797
2.100	8.784
2.110	8.767
2.120	8.748
2.130	8.726
2.140	8.704
2.150	8.681
2.160	8.660
2.170	8.640
2.180	8.623
2.190	8.610
2.200	8.600
2.210	8.594
2.220	8.590
2.230	8.589
2.240	8.590
2.250	8.592
2.260	8.594
2.270	8.596
2.280	8.597
2.290	8.598
2.300	8.598
2.310	8.597
2.320	8.595
2.330	8.593
2.340	8.590
2.350	8.586
2.360	8.581
2.370	8.574
2.380	8.566
2.390	8.557
2.400	8.546
2.410	8.534
2.420	8.522
2.430	8.511
2.440	8.501
2.450	8.495
2.460	8.494
2.470	8.499
2.480	8.511
2.490	8.532
2.500	8.561
2.510	8.597
2.520	8.640
2.530	8.688
2.540	8.738
2.550	8.788
2.560	8.835
2.570	8.875
2.580	8.908
2.590	8.931
2.600	8.944
2.610	8.945
2.620	8.937
2.630	8.920
2.640	8.897
2.650	8.870
2.660	8.843
2.670	8.817
2.680	8.794
2.690	8.778
2.700	8.767
2.710	8.763
2.720	8.766
2.730	8.773
2.740	8.784
2.750	8.797
2.760	8.809
2.770	8.819
2.780	8.827
2.790	8.830
2.800	8.828
2.810	8.823
2.820	8.815
2.830	8.805
2.840	8.795
2.850	8.785
2.860	8.778
2.870	8.774
2.880	8.775
2.890	8.780
2.900	8.789
2.910	8.803
2.920	8.820
2.930	8.839
2.940	8.860
2.950	8.883
2.960	8.905
2.970	8.927
2.980	8.949
2.990	8.970
3.000	8.990
3.010	9.009
3.020	9.026
3.030	9.042
3.040	9.056
3.050	9.067
3.060	9.075
3.070	9.080
3.080	9.080
3.090	9.075
3.100	9.065
3.110	9.051
3.120	9.034
3.130	9.013
