Time(s)	V(m/s)
0.000	17.485
0.010	17.498
0.020	17.511
0.030	17.524
0.040	17.537
0.050	17.550
0.060	17.563
0.070	17.577
0.080	17.592
0.090	17.610
0.100	17.629
0.110	17.652
0.120	17.677
0.130	17.704
0.140	17.731
0.150	17.756
0.160	17.778
0.170	17.795
0.180	17.806
0.190	17.808
0.200	17.801
0.210	17.785
0.220	17.763
0.230	17.734
0.240	17.702
0.250	17.671
0.260	17.643
0.270	17.621
0.280	17.608
0.290	17.607
0.300	17.618
0.310	17.642
0.320	17.678
0.330	17.725
0.340	17.779
0.350	17.840
0.360	17.903
0.370	17.965
0.380	18.025
0.390	18.079
0.400	18.127
0.410	18.168
0.420	18.200
0.430	18.223
0.440	18.239
0.450	18.246
0.460	18.245
0.470	18.236
0.480	18.219
0.490	18.194
0.500	18.160
0.510	18.117
0.520	18.066
0.530	18.007
0.540	17.942
0.550	17.873
0.560	17.803
0.570	17.734
0.580	17.671
0.590	17.616
0.600	17.572
0.610	17.543
0.620	17.529
0.630	17.530
0.640	17.547
0.650	17.576
0.660	17.615
0.670	17.661
0.680	17.708
0.690	17.753
0.700	17.793
0.710	17.824
0.720	17.844
0.730	17.854
0.740	17.853
0.750	17.843
0.760	17.826
0.770	17.806
0.780	17.786
0.790	17.767
0.800	17.753
0.810	17.745
0.820	17.742
0.830	17.744
0.840	17.749
0.850	17.756
0.860	17.761
0.870	17.762
0.880	17.756
0.890	17.744
0.900	17.723
0.910	17.695
0.920	17.661
0.930	17.623
0.940	17.584
0.950	17.548
0.960	17.516
0.970	17.492
0.980	17.476
0.990	17.469
1.000	17.471
1.010	17.481
1.020	17.495
1.030	17.513
1.040	17.531
1.050	17.547
1.060	17.559
1.070	17.567
1.080	17.571
1.090	17.572
1.100	17.572
1.110	17.572
1.120	17.576
1.130	17.586
1.140	17.603
1.150	17.629
1.160	17.663
1.170	17.704
1.180	17.749
1.190	17.797
1.200	17.842
1.210	17.882
1.220	17.912
1.230	17.930
1.240	17.933
1.250	17.922
1.260	17.897
1.270	17.859
1.280	17.811
1.290	17.758
1.300	17.702
1.310	17.647
1.320	17.597
1.330	17.554
1.340	17.520
1.350	17.495
1.360	17.477
1.370	17.466
1.380	17.459
1.390	17.453
1.400	17.446
1.410	17.434
1.420	17.417
1.430	17.393
1.440	17.363
1.450	17.326
1.460	17.285
1.470	17.242
1.480	17.199
1.490	17.159
1.500	17.123
1.510	17.093
1.520	17.069
1.530	17.052
1.540	17.040
1.550	17.032
1.560	17.027
1.570	17.023
1.580	17.019
1.590	17.013
1.600	17.003
1.610	16.992
1.620	16.977
1.630	16.961
1.640	16.945
1.650	16.930
1.660	16.917
1.670	16.909
1.680	16.905
1.690	16.906
1.700	16.913
1.710	16.924
1.720	16.938
1.730	16.955
1.740	16.973
1.750	16.991
1.760	17.008
1.770	17.023
1.780	17.036
1.790	17.047
1.800	17.055
1.810	17.063
1.820	17.069
1.830	17.075
1.840	17.081
1.850	17.087
1.860	17.093
1.870	17.097
1.880	17.101
1.890	17.102
1.900	17.100
1.910	17.095
1.920	17.086
1.930	17.072
1.940	17.055
1.950	17.036
1.960	17.014
1.970	16.992
1.980	16.970
1.990	16.950
2.000	16.932
2.010	16.918
2.020	16.907
2.030	16.898
2.040	16.893
2.050	16.888
2.060	16.883
2.070	16.877
2.080	16.868
2.090	16.856
2.100	16.841
2.110	16.822
2.120	16.800
2.130	16.775
2.140	16.749
2.150	16.723
2.160	16.698
2.170	16.675
2.180	16.656
2.190	16.640
2.200	16.629
2.210	16.622
2.220	16.618
2.230	16.617
2.240	16.618
2.250	16.620
2.260	16.623
2.270	16.625
2.280	16.627
2.290	16.628
2.300	16.628
2.310	16.627
2.320	16.626
2.330	16.623
2.340	16.619
2.350	16.615
2.360	16.609
2.370	16.602
2.380	16.593
2.390	16.582
2.400	16.570
2.410	16.556
2.420	16.542
2.430	16.529
2.440	16.518
2.450	16.511
2.460	16.509
2.470	16.515
2.480	16.530
2.490	16.554
2.500	16.588
2.510	16.631
2.520	16.681
2.530	16.737
2.540	16.795
2.550	16.853
2.560	16.908
2.570	16.956
2.580	16.994
2.590	17.021
2.600	17.035
2.610	17.037
2.620	17.028
2.630	17.008
2.640	16.982
2.650	16.951
2.660	16.918
2.670	16.888
2.680	16.862
2.690	16.843
2.700	16.831
2.710	16.827
2.720	16.830
2.730	16.839
2.740	16.851
2.750	16.866
2.760	16.881
2.770	16.893
2.780	16.901
2.790	16.905
2.800	16.904
2.810	16.898
2.820	16.888
2.830	16.877
2.840	16.865
2.850	16.854
2.860	16.845
2.870	16.841
2.880	16.842
2.890	16.848
2.900	16.859
2.910	16.875
2.920	16.895
2.930	16.918
2.940	16.943
2.950	16.969
2.960	16.995
2.970	17.021
2.980	17.046
2.990	17.071
3.000	17.094
3.010	17.116
3.020	17.137
3.030	17.155
3.040	17.172
3.050	17.185
3.060	17.195
3.070	17.200
3.080	17.200
3.090	17.194
3.100	17.183
3.110	17.167
3.120	17.147
3.130	17.123
3.140	17.098
3.150	17.073
3.160	17.050
3.170	17.032
3.180	17.020
3.190	17.014
3.200	17.016
3.210	17.025
3.220	17.040
3.230	17.059
3.240	17.081
3.250	17.103
3.260	17.124
3.270	17.139
3.280	17.149
3.290	17.151
3.300	17.145
3.310	17.131
3.320	17.110
3.330	17.084
3.340	17.056
3.350	17.026
3.360	16.998
3.370	16.975
3.380	16.957
3.390	16.947
3.400	16.944
3.410	16.949
3.420	16.962
3.430	16.980
3.440	17.003
3.450	17.027
3.460	17.051
3.470	17.074
3.480	17.092
3.490	17.104
3.500	17.111
3.510	17.110
3.520	17.102
3.530	17.088
3.540	17.067
3.550	17.043
3.560	17.015
3.570	16.985
3.580	16.955
3.590	16.928
3.600	16.903
3.610	16.883
3.620	16.869
3.630	16.862
3.640	16.863
3.650	16.872
3.660	16.890
3.670	16.915
3.680	16.947
3.690	16.986
3.700	17.028
3.710	17.074
3.720	17.120
3.730	17.164
3.740	17.205
3.750	17.241
3.760	17.270
3.770	17.291
3.780	17.303
3.790	17.307
3.800	17.302
3.810	17.290
3.820	17.272
3.830	17.248
3.840	17.221
3.850	17.192
3.860	17.163
3.870	17.134
3.880	17.106
3.890	17.080
3.900	17.056
3.910	17.033
3.920	17.013
3.930	16.994
3.940	16.976
3.950	16.960
3.960	16.946
3.970	16.934
3.980	16.924
3.990	16.918
4.000	16.915
4.010	16.917
4.020	16.923
4.030	16.933
4.040	16.946
4.050	16.962
4.060	16.980
4.070	16.997
4.080	17.012
4.090	17.024
4.100	17.030
4.110	17.030
4.120	17.023
4.130	17.009
4.140	16.987
4.150	16.959
4.160	16.927
4.170	16.891
4.180	16.854
4.190	16.818
4.200	16.784
4.210	16.753
4.220	16.728
4.230	16.708
4.240	16.693
4.250	16.684
4.260	16.680
4.270	16.679
4.280	16.682
4.290	16.687
4.300	16.693
4.310	16.700
4.320	16.708
4.330	16.716
4.340	16.723
4.350	16.729
4.360	16.734
4.370	16.738
4.380	16.739
4.390	16.737
4.400	16.730
4.410	16.718
4.420	16.700
4.430	16.674
4.440	16.642
4.450	16.602
4.460	16.557
4.470	16.507
4.480	16.454
4.490	16.401
4.500	16.351
4.510	16.307
4.520	16.272
4.530	16.247
4.540	16.236
4.550	16.239
4.560	16.256
4.570	16.286
4.580	16.327
4.590	16.377
4.600	16.432
4.610	16.489
4.620	16.544
4.630	16.594
4.640	16.636
4.650	16.666
4.660	16.685
4.670	16.691
4.680	16.684
4.690	16.667
4.700	16.641
4.710	16.608
4.720	16.571
4.730	16.534
4.740	16.499
4.750	16.468
4.760	16.444
4.770	16.428
4.780	16.421
4.790	16.422
4.800	16.432
4.810	16.449
4.820	16.473
4.830	16.501
4.840	16.531
4.850	16.561
4.860	16.590
4.870	16.615
4.880	16.635
4.890	16.648
4.900	16.653
4.910	16.651
4.920	16.641
4.930	16.624
4.940	16.602
4.950	16.575
4.960	16.548
4.970	16.521
4.980	16.497
4.990	16.478
5.000	16.467
5.010	16.464
5.020	16.470
5.030	16.486
5.040	16.510
5.050	16.542
5.060	16.579
5.070	16.619
5.080	16.659
5.090	16.697
5.100	16.730
5.110	16.757
5.120	16.777
5.130	16.788
5.140	16.791
5.150	16.788
5.160	16.779
5.170	16.767
5.180	16.754
5.190	16.741
5.200	16.731
5.210	16.724
5.220	16.721
5.230	16.721
5.240	16.725
5.250	16.730
5.260	16.734
5.270	16.736
5.280	16.735
5.290	16.729
5.300	16.717
5.310	16.700
5.320	16.679
5.330	16.655
5.340	16.629
5.350	16.605
5.360	16.584
5.370	16.569
5.380	16.561
5.390	16.560
5.400	16.569
5.410	16.584
5.420	16.606
5.430	16.631
5.440	16.658
5.450	16.684
5.460	16.707
5.470	16.724
5.480	16.734
5.490	16.738
5.500	16.734
5.510	16.725
5.520	16.711
5.530	16.696
5.540	16.682
5.550	16.670
5.560	16.663
5.570	16.663
5.580	16.669
5.590	16.683
5.600	16.702
5.610	16.727
5.620	16.754
5.630	16.782
5.640	16.808
5.650	16.832
5.660	16.850
5.670	16.862
5.680	16.868
5.690	16.867
5.700	16.861
5.710	16.850
5.720	16.837
5.730	16.823
5.740	16.810
5.750	16.799
5.760	16.792
5.770	16.790
5.780	16.793
5.790	16.802
5.800	16.817
5.810	16.838
5.820	16.864
5.830	16.895
5.840	16.928
5.850	16.965
5.860	17.002
5.870	17.040
5.880	17.076
5.890	17.109
5.900	17.138
5.910	17.162
5.920	17.179
5.930	17.189
5.940	17.191
5.950	17.186
5.960	17.175
5.970	17.158
5.980	17.137
5.990	17.114
6.000	17.092
6.010	17.073
6.020	17.059
6.030	17.051
6.040	17.051
6.050	17.058
6.060	17.073
6.070	17.094
6.080	17.118
6.090	17.143
6.100	17.166
6.110	17.184
6.120	17.194
6.130	17.196
6.140	17.187
6.150	17.169
6.160	17.142
6.170	17.109
6.180	17.073
6.190	17.037
6.200	17.005
6.210	16.981
6.220	16.966
6.230	16.962
6.240	16.969
6.250	16.987
6.260	17.013
6.270	17.044
6.280	17.075
6.290	17.101
6.300	17.120
6.310	17.125
6.320	17.115
6.330	17.089
6.340	17.046
6.350	16.987
6.360	16.917
6.370	16.838
6.380	16.756
6.390	16.676
6.400	16.602
6.410	16.539
6.420	16.490
6.430	16.457
6.440	16.440
6.450	16.437
