Time(s)	V(m/s)
0.000	6.089
0.010	6.092
0.020	6.095
0.030	6.098
0.040	6.101
0.050	6.105
0.060	6.108
0.070	6.111
0.080	6.115
0.090	6.120
0.100	6.125
0.110	6.130
0.120	6.136
0.130	6.143
0.140	6.150
0.150	6.156
0.160	6.162
0.170	6.166
0.180	6.168
0.190	6.169
0.200	6.167
0.210	6.163
0.220	6.158
0.230	6.151
0.240	6.143
0.250	6.135
0.260	6.128
0.270	6.122
0.280	6.119
0.290	6.119
0.300	6.121
0.310	6.127
0.320	6.136
0.330	6.148
0.340	6.162
0.350	6.177
0.360	6.192
0.370	6.208
0.380	6.223
0.390	6.237
0.400	6.248
0.410	6.259
0.420	6.267
0.430	6.272
0.440	6.276
0.450	6.278
0.460	6.278
0.470	6.275
0.480	6.271
0.490	6.265
0.500	6.256
0.510	6.245
0.520	6.233
0.530	6.218
0.540	6.202
0.550	6.184
0.560	6.167
0.570	6.150
0.580	6.134
0.590	6.120
0.600	6.109
0.610	6.102
0.620	6.098
0.630	6.098
0.640	6.102
0.650	6.110
0.660	6.119
0.670	6.131
0.680	6.143
0.690	6.154
0.700	6.164
0.710	6.171
0.720	6.176
0.730	6.179
0.740	6.178
0.750	6.176
0.760	6.172
0.770	6.167
0.780	6.161
0.790	6.157
0.800	6.153
0.810	6.151
0.820	6.150
0.830	6.151
0.840	6.152
0.850	6.154
0.860	6.155
0.870	6.155
0.880	6.153
0.890	6.150
0.900	6.145
0.910	6.138
0.920	6.129
0.930	6.120
0.940	6.110
0.950	6.101
0.960	6.093
0.970	6.087
0.980	6.083
0.990	6.081
1.000	6.082
1.010	6.084
1.020	6.087
1.030	6.092
1.040	6.096
1.050	6.100
1.060	6.103
1.070	6.105
1.080	6.106
1.090	6.106
1.100	6.106
1.110	6.106
1.120	6.107
1.130	6.109
1.140	6.114
1.150	6.120
1.160	6.128
1.170	6.139
1.180	6.150
1.190	6.162
1.200	6.173
1.210	6.183
1.220	6.190
1.230	6.195
1.240	6.195
1.250	6.193
1.260	6.186
1.270	6.177
1.280	6.165
1.290	6.151
1.300	6.137
1.310	6.123
1.320	6.111
1.330	6.100
1.340	6.091
1.350	6.085
1.360	6.081
1.370	6.078
1.380	6.076
1.390	6.074
1.400	6.072
1.410	6.069
1.420	6.065
1.430	6.059
1.440	6.051
1.450	6.042
1.460	6.032
1.470	6.021
1.480	6.010
1.490	6.000
1.500	5.991
1.510	5.983
1.520	5.977
1.530	5.973
1.540	5.970
1.550	5.968
1.560	5.966
1.570	5.965
1.580	5.964
1.590	5.962
1.600	5.960
1.610	5.957
1.620	5.953
1.630	5.949
