Time(s)	V(m/s)
0.000	18.527
0.010	18.540
0.020	18.554
0.030	18.568
0.040	18.582
0.050	18.596
0.060	18.610
0.070	18.625
0.080	18.642
0.090	18.661
0.100	18.682
0.110	18.706
0.120	18.733
0.130	18.762
0.140	18.791
0.150	18.819
0.160	18.843
0.170	18.861
0.180	18.872
0.190	18.874
0.200	18.867
0.210	18.850
0.220	18.826
0.230	18.795
0.240	18.761
0.250	18.727
0.260	18.696
0.270	18.673
0.280	18.659
0.290	18.658
0.300	18.670
0.310	18.696
0.320	18.734
0.330	18.785
0.340	18.844
0.350	18.909
0.360	18.977
0.370	19.044
0.380	19.109
0.390	19.168
0.400	19.219
0.410	19.263
0.420	19.297
0.430	19.323
0.440	19.340
0.450	19.347
0.460	19.347
0.470	19.337
0.480	19.319
0.490	19.291
0.500	19.254
0.510	19.208
0.520	19.153
0.530	19.089
0.540	19.020
0.550	18.945
0.560	18.869
0.570	18.795
0.580	18.727
0.590	18.667
0.600	18.621
0.610	18.589
0.620	18.574
0.630	18.575
0.640	18.593
0.650	18.625
0.660	18.667
0.670	18.716
0.680	18.767
0.690	18.816
0.700	18.859
0.710	18.892
0.720	18.914
0.730	18.925
0.740	18.923
0.750	18.913
0.760	18.895
0.770	18.873
0.780	18.851
0.790	18.831
0.800	18.816
0.810	18.807
0.820	18.804
0.830	18.806
0.840	18.812
0.850	18.819
0.860	18.824
0.870	18.825
0.880	18.820
0.890	18.806
0.900	18.783
0.910	18.753
0.920	18.716
0.930	18.676
0.940	18.634
0.950	18.595
0.960	18.561
0.970	18.534
0.980	18.517
0.990	18.510
1.000	18.512
1.010	18.522
1.020	18.538
1.030	18.557
1.040	18.577
1.050	18.594
1.060	18.607
1.070	18.616
1.080	18.620
1.090	18.621
1.100	18.621
1.110	18.621
1.120	18.625
1.130	18.636
1.140	18.655
1.150	18.682
1.160	18.719
1.170	18.763
1.180	18.813
1.190	18.864
1.200	18.913
1.210	18.956
1.220	18.988
1.230	19.007
1.240	19.011
1.250	18.999
1.260	18.972
1.270	18.931
1.280	18.880
1.290	18.822
1.300	18.761
1.310	18.703
1.320	18.649
1.330	18.602
1.340	18.566
1.350	18.538
1.360	18.520
1.370	18.508
1.380	18.500
1.390	18.494
1.400	18.486
1.410	18.473
1.420	18.455
1.430	18.429
1.440	18.396
1.450	18.357
1.460	18.313
1.470	18.266
1.480	18.220
1.490	18.177
1.500	18.138
1.510	18.105
1.520	18.079
1.530	18.061
1.540	18.048
1.550	18.040
1.560	18.035
1.570	18.030
1.580	18.026
1.590	18.019
1.600	18.009
1.610	17.996
1.620	17.981
1.630	17.963
1.640	17.946
1.650	17.930
1.660	17.916
1.670	17.907
1.680	17.903
1.690	17.904
1.700	17.911
1.710	17.923
1.720	17.939
1.730	17.957
1.740	17.977
1.750	17.996
1.760	18.015
1.770	18.031
1.780	18.045
1.790	18.056
1.800	18.066
1.810	18.073
1.820	18.080
1.830	18.087
1.840	18.093
1.850	18.100
1.860	18.106
1.870	18.111
1.880	18.115
1.890	18.116
1.900	18.114
1.910	18.109
1.920	18.099
1.930	18.084
1.940	18.066
1.950	18.045
1.960	18.021
1.970	17.997
1.980	17.973
1.990	17.952
2.000	17.933
2.010	17.917
2.020	17.906
2.030	17.897
2.040	17.890
2.050	17.885
2.060	17.880
2.070	17.873
2.080	17.864
2.090	17.852
2.100	17.835
2.110	17.814
2.120	17.790
2.130	17.764
2.140	17.735
2.150	17.707
2.160	17.680
2.170	17.656
2.180	17.635
2.190	17.618
2.200	17.606
2.210	17.598
2.220	17.594
2.230	17.593
2.240	17.594
2.250	17.597
2.260	17.600
2.270	17.602
2.280	17.605
2.290	17.606
2.300	17.606
2.310	17.605
2.320	17.603
2.330	17.600
2.340	17.596
2.350	17.591
2.360	17.585
2.370	17.577
2.380	17.568
2.390	17.556
2.400	17.543
2.410	17.528
2.420	17.513
2.430	17.499
2.440	17.487
2.450	17.479
2.460	17.478
2.470	17.484
2.480	17.500
2.490	17.526
2.500	17.562
2.510	17.609
2.520	17.663
2.530	17.723
2.540	17.786
2.550	17.849
2.560	17.908
2.570	17.959
2.580	18.001
2.590	18.030
2.600	18.046
2.610	18.048
2.620	18.037
2.630	18.016
2.640	17.988
2.650	17.954
2.660	17.919
2.670	17.887
2.680	17.859
2.690	17.838
2.700	17.825
2.710	17.820
2.720	17.824
2.730	17.833
2.740	17.847
2.750	17.863
2.760	17.879
2.770	17.892
2.780	17.901
2.790	17.905
2.800	17.904
2.810	17.897
2.820	17.887
2.830	17.875
2.840	17.862
2.850	17.850
2.860	17.841
2.870	17.836
2.880	17.837
2.890	17.843
2.900	17.856
2.910	17.873
2.920	17.894
2.930	17.919
2.940	17.946
2.950	17.974
2.960	18.002
2.970	18.031
2.980	18.058
2.990	18.084
3.000	18.109
3.010	18.133
3.020	18.155
3.030	18.176
3.040	18.193
3.050	18.208
3.060	18.218
3.070	18.223
3.080	18.224
3.090	18.218
3.100	18.206
3.110	18.188
3.120	18.166
3.130	18.141
3.140	18.114
3.150	18.087
3.160	18.063
3.170	18.043
3.180	18.029
3.190	18.023
3.200	18.025
3.210	18.035
3.220	18.051
3.230	18.072
3.240	18.096
3.250	18.120
3.260	18.142
3.270	18.159
3.280	18.169
3.290	18.171
3.300	18.164
3.310	18.150
3.320	18.127
3.330	18.099
3.340	18.068
3.350	18.036
3.360	18.007
3.370	17.981
3.380	17.962
3.390	17.951
3.400	17.948
3.410	17.954
3.420	17.967
3.430	17.987
3.440	18.011
3.450	18.038
3.460	18.064
3.470	18.088
3.480	18.108
3.490	18.121
3.500	18.128
3.510	18.127
3.520	18.119
3.530	18.103
3.540	18.081
3.550	18.055
3.560	18.025
3.570	17.993
3.580	17.961
3.590	17.931
3.600	17.904
3.610	17.883
3.620	17.868
3.630	17.860
3.640	17.861
3.650	17.871
3.660	17.890
3.670	17.917
3.680	17.952
3.690	17.993
3.700	18.039
3.710	18.088
3.720	18.138
3.730	18.186
3.740	18.230
3.750	18.269
3.760	18.300
3.770	18.323
3.780	18.336
3.790	18.340
3.800	18.335
3.810	18.322
3.820	18.302
3.830	18.277
3.840	18.248
3.850	18.217
3.860	18.185
3.870	18.154
3.880	18.124
3.890	18.095
3.900	18.069
3.910	18.045
3.920	18.023
3.930	18.003
3.940	17.984
3.950	17.967
3.960	17.951
3.970	17.938
3.980	17.928
3.990	17.921
4.000	17.918
4.010	17.920
4.020	17.926
4.030	17.937
4.040	17.952
4.050	17.969
4.060	17.988
4.070	18.007
4.080	18.023
4.090	18.036
4.100	18.043
4.110	18.043
4.120	18.035
4.130	18.019
4.140	17.996
4.150	17.966
4.160	17.931
4.170	17.892
4.180	17.853
4.190	17.813
4.200	17.777
4.210	17.744
4.220	17.716
4.230	17.695
4.240	17.679
4.250	17.669
4.260	17.665
4.270	17.664
4.280	17.667
4.290	17.672
4.300	17.679
4.310	17.687
4.320	17.695
4.330	17.703
4.340	17.711
4.350	17.718
4.360	17.724
4.370	17.728
4.380	17.729
4.390	17.726
4.400	17.719
4.410	17.706
4.420	17.687
4.430	17.659
4.440	17.624
4.450	17.582
4.460	17.533
4.470	17.478
4.480	17.421
4.490	17.364
4.500	17.311
4.510	17.263
4.520	17.225
4.530	17.199
4.540	17.187
4.550	17.190
4.560	17.208
4.570	17.240
4.580	17.285
4.590	17.339
4.600	17.398
4.610	17.460
4.620	17.520
4.630	17.573
4.640	17.618
4.650	17.651
4.660	17.671
4.670	17.677
4.680	17.671
4.690	17.652
4.700	17.624
4.710	17.588
4.720	17.549
4.730	17.509
4.740	17.471
4.750	17.438
4.760	17.412
4.770	17.394
4.780	17.386
4.790	17.388
4.800	17.398
4.810	17.417
4.820	17.443
4.830	17.473
4.840	17.505
4.850	17.538
4.860	17.569
4.870	17.596
4.880	17.617
4.890	17.631
4.900	17.637
4.910	17.635
4.920	17.624
4.930	17.606
4.940	17.582
4.950	17.554
4.960	17.524
4.970	17.495
4.980	17.469
4.990	17.449
5.000	17.436
5.010	17.433
5.020	17.440
5.030	17.457
5.040	17.483
5.050	17.517
5.060	17.557
5.070	17.601
5.080	17.644
5.090	17.685
5.100	17.721
5.110	17.750
5.120	17.771
5.130	17.783
5.140	17.787
5.150	17.783
5.160	17.773
5.170	17.760
5.180	17.746
5.190	17.732
5.200	17.721
5.210	17.714
5.220	17.711
5.230	17.712
5.240	17.715
5.250	17.720
5.260	17.725
5.270	17.728
5.280	17.726
5.290	17.720
5.300	17.707
5.310	17.689
5.320	17.666
5.330	17.639
5.340	17.612
5.350	17.586
5.360	17.563
5.370	17.547
5.380	17.538
5.390	17.538
5.400	17.547
5.410	17.564
5.420	17.587
5.430	17.615
5.440	17.644
5.450	17.672
5.460	17.696
5.470	17.715
5.480	17.726
5.490	17.729
5.500	17.726
5.510	17.716
5.520	17.701
5.530	17.685
5.540	17.669
5.550	17.657
5.560	17.649
5.570	17.649
5.580	17.656
5.590	17.670
5.600	17.692
5.610	17.718
5.620	17.747
5.630	17.777
5.640	17.806
5.650	17.831
5.660	17.851
5.670	17.864
5.680	17.870
5.690	17.869
5.700	17.863
5.710	17.851
5.720	17.837
5.730	17.822
5.740	17.808
5.750	17.796
5.760	17.788
5.770	17.786
5.780	17.789
5.790	17.799
5.800	17.816
5.810	17.838
5.820	17.866
5.830	17.899
5.840	17.936
5.850	17.975
5.860	18.016
5.870	18.056
5.880	18.095
5.890	18.131
5.900	18.162
5.910	18.187
5.920	18.206
5.930	18.217
5.940	18.219
5.950	18.214
5.960	18.202
5.970	18.183
5.980	18.161
5.990	18.136
6.000	18.113
6.010	18.092
6.020	18.077
6.030	18.068
6.040	18.068
6.050	18.076
6.060	18.092
6.070	18.115
6.080	18.141
6.090	18.168
6.100	18.192
6.110	18.212
6.120	18.223
6.130	18.225
6.140	18.216
6.150	18.196
6.160	18.167
6.170	18.132
6.180	18.093
6.190	18.054
6.200	18.020
6.210	17.993
6.220	17.977
6.230	17.972
6.240	17.981
6.250	18.000
6.260	18.028
6.270	18.061
6.280	18.095
6.290	18.123
6.300	18.143
6.310	18.149
6.320	18.139
6.330	18.110
6.340	18.063
6.350	18.000
6.360	17.924
6.370	17.839
6.380	17.751
6.390	17.664
6.400	17.585
6.410	17.517
6.420	17.465
6.430	17.429
6.440	17.410
6.450	17.407
6.460	17.416
6.470	17.434
6.480	17.457
6.490	17.478
6.500	17.494
6.510	17.502
6.520	17.497
6.530	17.480
6.540	17.449
6.550	17.407
6.560	17.356
6.570	17.298
6.580	17.239
6.590	17.182
6.600	17.130
6.610	17.086
6.620	17.053
6.630	17.031
6.640	17.020
6.650	17.020
6.660	17.029
6.670	17.044
6.680	17.063
6.690	17.083
6.700	17.103
6.710	17.119
6.720	17.132
6.730	17.139
6.740	17.142
6.750	17.140
6.760	17.135
6.770	17.127
6.780	17.117
6.790	17.107
6.800	17.097
6.810	17.089
6.820	17.083
6.830	17.078
6.840	17.076
6.850	17.075
6.860	17.077
6.870	17.079
6.880	17.084
6.890	17.089
6.900	17.095
6.910	17.103
6.920	17.111
6.930	17.120
6.940	17.129
6.950	17.138
6.960	17.146
6.970	17.153
6.980	17.157
6.990	17.158
7.000	17.155
7.010	17.146
7.020	17.132
7.030	17.112
7.040	17.087
7.050	17.057
7.060	17.023
7.070	16.987
7.080	16.950
7.090	16.916
7.100	16.886
7.110	16.861
7.120	16.845
7.130	16.838
7.140	16.841
7.150	16.853
7.160	16.875
7.170	16.905
7.180	16.941
7.190	16.979
7.200	17.018
7.210	17.054
7.220	17.084
7.230	17.106
7.240	17.118
7.250	17.119
7.260	17.109
7.270	17.088
7.280	17.058
7.290	17.021
7.300	16.981
7.310	16.940
7.320	16.903
7.330	16.871
7.340	16.848
7.350	16.835
7.360	16.832
7.370	16.839
7.380	16.855
7.390	16.876
7.400	16.901
7.410	16.927
7.420	16.949
7.430	16.965
7.440	16.973
7.450	16.972
7.460	16.962
7.470	16.944
7.480	16.920
7.490	16.893
7.500	16.868
7.510	16.847
7.520	16.833
7.530	16.830
7.540	16.839
7.550	16.860
7.560	16.892
7.570	16.933
7.580	16.979
7.590	17.027
7.600	17.071
7.610	17.108
7.620	17.134
7.630	17.147
7.640	17.145
7.650	17.128
7.660	17.099
7.670	17.062
7.680	17.019
7.690	16.977
7.700	16.941
7.710	16.915
7.720	16.903
7.730	16.907
7.740	16.928
7.750	16.965
7.760	17.016
7.770	17.075
7.780	17.140
7.790	17.203
7.800	17.261
7.810	17.308
7.820	17.341
7.830	17.358
7.840	17.358
7.850	17.342
7.860	17.313
7.870	17.273
7.880	17.228
7.890	17.180
7.900	17.133
7.910	17.091
7.920	17.055
7.930	17.027
7.940	17.007
7.950	16.993
7.960	16.984
7.970	16.978
7.980	16.973
7.990	16.968
8.000	16.961
8.010	16.953
8.020	16.946
8.030	16.940
8.040	16.938
8.050	16.942
8.060	16.955
8.070	16.978
8.080	17.011
8.090	17.056
8.100	17.109
8.110	17.168
8.120	17.229
8.130	17.289
8.140	17.342
8.150	17.385
8.160	17.414
8.170	17.426
8.180	17.422
8.190	17.401
8.200	17.366
8.210	17.319
8.220	17.265
8.230	17.208
8.240	17.153
8.250	17.103
8.260	17.062
8.270	17.032
8.280	17.013
8.290	17.004
8.300	17.005
8.310	17.011
8.320	17.020
8.330	17.029
8.340	17.035
8.350	17.035
8.360	17.028
8.370	17.014
8.380	16.994
8.390	16.968
8.400	16.940
8.410	16.911
8.420	16.884
8.430	16.862
8.440	16.847
8.450	16.838
8.460	16.838
8.470	16.844
8.480	16.856
8.490	16.872
8.500	16.891
8.510	16.911
8.520	16.930
8.530	16.947
8.540	16.962
8.550	16.976
8.560	16.988
8.570	17.000
8.580	17.012
8.590	17.026
8.600	17.041
8.610	17.059
8.620	17.078
8.630	17.099
8.640	17.120
8.650	17.139
8.660	17.156
8.670	17.169
8.680	17.177
8.690	17.180
8.700	17.177
8.710	17.170
8.720	17.160
8.730	17.147
8.740	17.135
8.750	17.123
8.760	17.115
8.770	17.110
8.780	17.109
8.790	17.112
8.800	17.119
8.810	17.128
8.820	17.139
8.830	17.150
8.840	17.161
8.850	17.170
8.860	17.177
8.870	17.182
8.880	17.187
8.890	17.192
8.900	17.197
8.910	17.204
8.920	17.214
8.930	17.227
8.940	17.242
8.950	17.258
8.960	17.275
8.970	17.291
8.980	17.302
8.990	17.308
9.000	17.306
9.010	17.296
9.020	17.275
9.030	17.245
9.040	17.207
9.050	17.161
9.060	17.111
9.070	17.058
9.080	17.006
9.090	16.957
9.100	16.912
9.110	16.873
9.120	16.840
9.130	16.813
9.140	16.791
9.150	16.773
9.160	16.756
9.170	16.739
9.180	16.722
9.190	16.702
9.200	16.680
9.210	16.657
9.220	16.634
9.230	16.612
9.240	16.593
9.250	16.580
9.260	16.574
9.270	16.576
9.280	16.586
9.290	16.604
9.300	16.628
9.310	16.656
9.320	16.686
9.330	16.714
9.340	16.739
9.350	16.758
9.360	16.769
9.370	16.772
9.380	16.767
9.390	16.756
9.400	16.741
9.410	16.724
9.420	16.708
9.430	16.697
9.440	16.692
9.450	16.695
9.460	16.708
9.470	16.728
9.480	16.756
9.490	16.790
9.500	16.826
9.510	16.862
9.520	16.895
9.530	16.924
9.540	16.947
9.550	16.963
9.560	16.973
9.570	16.978
9.580	16.979
9.590	16.980
9.600	16.982
9.610	16.987
9.620	16.997
9.630	17.012
9.640	17.033
9.650	17.057
9.660	17.084
9.670	17.111
9.680	17.136
9.690	17.155
9.700	17.167
9.710	17.172
9.720	17.167
9.730	17.155
9.740	17.136
9.750	17.113
9.760	17.089
9.770	17.068
9.780	17.052
9.790	17.045
9.800	17.048
9.810	17.062
9.820	17.088
9.830	17.125
9.840	17.170
9.850	17.220
